,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
233,"Verkada
4.0",Growth Data Scientist,"San Mateo, CA",,Unknown / Non-Applicable,1001 to 5000 Employees,Company - Private,Information Technology,Software Development,2016,Unknown / Non-Applicable
234,"Snowflake
4.3",Principal Data Scientist,"San Mateo, CA","We’re looking for a Principal Data Scientist to lead Snowflake's corporate data science function. In this role, you will apply machine learning to a variety of domain specific problems across Legal, Sales Engineering, Alliances, IT, Professional Services & Training. This is a generalist role and will provide an opportunity to work on a wide breadth of problems, applying a good mix of models & methods to structured & unstructured data.
AS A PRINCIPAL DATA SCIENTIST AT SNOWFLAKE YOU WILL
:",$2 to $5 billion (USD),1001 to 5000 Employees,Company - Public,Information Technology,Enterprise Software & Network Solutions,2012,$2 to $5 billion (USD)
235,"TikTok
3.6","Data Scientist - Tiktok Ads, Growth Marketing","Mountain View, CA",,Unknown / Non-Applicable,10000+ Employees,Company - Private,Information Technology,Internet & Web Services,2016,Unknown / Non-Applicable
236,"CALICO
4.0","Senior Scientist, Imaging (Clinical Data)","South San Francisco, CA","Calico (Calico Life Sciences LLC) is an Alphabet-founded research and development company whose mission is to harness advanced technologies and model systems to increase our understanding of the biology that controls human aging. Calico will use that knowledge to devise interventions that enable people to lead longer and healthier lives. Calico’s highly innovative technology labs, its commitment to curiosity-driven discovery science and, with academic and industry partners, its vibrant drug-development pipeline, together create an inspiring and exciting place to catalyze and enable medical breakthroughs.",Unknown / Non-Applicable,201 to 500 Employees,Company - Private,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2013,Unknown / Non-Applicable
237,NewLimit,"Data Scientist, Bioinformatics","South San Francisco, CA","NewLimit is a biotechnology company working to radically extend human healthspan. We're developing medicines to treat age-related diseases by reprogramming the epigenome, a new therapeutic mechanism to restore regenerative potential in aged and diseased cells. We leverage functional genomics, pooled perturbation screening, and machine learning models to unravel the biology of epigenetic aging and disease using experiments of unprecedented scale.",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
238,"Databricks
4.6",Staff Data Scientist,"San Francisco, CA","At Databricks, we are obsessed with enabling data teams to solve the world's toughest problems, from security threat detection to cancer drug development. We do this by building and running the world's best data and AI infrastructure platform, so our customers can focus on the high value challenges that are central to their own missions.",Unknown / Non-Applicable,1001 to 5000 Employees,Company - Private,Information Technology,Computer Hardware Development,2013,Unknown / Non-Applicable
239,"FocusKPI Inc.
3.3",Data Scientist,"San Bruno, CA",Data Scientist,Less than $1 million (USD),51 to 200 Employees,Company - Private,Media & Communication,Advertising & Public Relations,#N/A,Less than $1 million (USD)
240,"TikTok
3.6","Data Scientist, University Graduate - 2023 Start (BS/MS)","Mountain View, CA",,Unknown / Non-Applicable,10000+ Employees,Company - Private,Information Technology,Internet & Web Services,2016,Unknown / Non-Applicable
241,"Uber
4.0",2023 University Graduate - Data Scientist,"San Francisco, CA","Uber’s Data Science teams use data to improve and automate all aspects of our core products, as we drive growth, retention, engagement, and affinity on the Uber platform. This includes providing insight into how pricing and surge is working and offering opportunities for improvement; understanding adoption and engagement with rides and recognizing opportunities for product evolution; crafting and analyzing experiments to understand the effects of matching changes and/or incentives on rider and driver behaviors, conversion and engagement; working with Engineering teams to ensure integrity of our platform, products and data.",$10+ billion (USD),10000+ Employees,Company - Public,Information Technology,Internet & Web Services,2009,$10+ billion (USD)
242,"Verily
4.1","Data Scientist, Viral Genomics","South San Francisco, CA",,Unknown / Non-Applicable,1001 to 5000 Employees,Subsidiary or Business Segment,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2015,Unknown / Non-Applicable
243,"Discord
3.9","Senior Data Scientist, Analytics","San Francisco, CA",#N/A,$25 to $50 million (USD),501 to 1000 Employees,Company - Private,Information Technology,Internet & Web Services,2015,$25 to $50 million (USD)
244,"Lyra Health
4.5",Data Scientist (Remote - U.S. only),"Burlingame, CA","Lyra is transforming mental health care through technology with a human touch to help people feel emotionally healthy at work and at home. We work with industry leaders, such as Morgan Stanley, Uber, Amgen, and other Fortune 500 companies, to improve access to effective, high-quality mental health care for their employees and their families. With our innovative digital care platform and global provider network, 10 million people can receive the best care and feel better, faster. Founded by David Ebersman, former CFO of Facebook and Genentech, Lyra has raised more than $900 million.",$100 to $500 million (USD),1001 to 5000 Employees,Company - Private,Healthcare,Healthcare Services & Hospitals,2015,$100 to $500 million (USD)
245,"TikTok
3.6","Machine Learning Engineer, University Graduate (TikTok-Data)- 2023 Start (BS/MS)","Mountain View, CA",,Unknown / Non-Applicable,10000+ Employees,Company - Private,Information Technology,Internet & Web Services,2016,Unknown / Non-Applicable
246,"TikTok
3.6","Data Scientist, University Graduate (Global E-commerce Risk Control)- 2023 Start (MS)","Mountain View, CA",,Unknown / Non-Applicable,10000+ Employees,Company - Private,Information Technology,Internet & Web Services,2016,Unknown / Non-Applicable
247,"Notion
4.9","Data Scientist, Growth","San Francisco, CA","We're on a mission to make it possible for every person, team, and company to be able to tailor their software to solve any problem and take on any challenge. Computers may be our most powerful tools, but most of us can't build or modify the software we use on them every day. At Notion, we want to change this with focus, design, and craft.",Unknown / Non-Applicable,201 to 500 Employees,Company - Private,Information Technology,Enterprise Software & Network Solutions,2016,Unknown / Non-Applicable
248,"Dolby
4.2",Sound Tech Deep Learning and Data Analyt,"San Francisco, CA","Join the leader in entertainment innovation and help us design the future. At Dolby, science meets art, and high tech means more than computer code. As a member of the Dolby team, you’ll see and hear the results of your work everywhere, from movie theaters to smartphones.",$2 to $5 billion (USD),1001 to 5000 Employees,Company - Public,Manufacturing,Electronics Manufacturing,1965,$2 to $5 billion (USD)
249,"Ancestry
3.7","Data Scientist, CV/NLP","San Francisco, CA","When you join Ancestry, you join a human-centered company where every person’s story is important. We believe that by discovering the struggles and triumphs of our past, we can foster deeper bonds and more meaningful connections among families and communities. Our talented team of scientists, engineers, genealogists, historians, and storytellers is dedicated to empowering customers around the world from all backgrounds on their journeys of personal discovery.",$2 to $5 billion (USD),1001 to 5000 Employees,Company - Private,Information Technology,Internet & Web Services,1985,$2 to $5 billion (USD)
250,"University of California Berkeley
4.3",Data Scientist / Research Software Engineer (6104U) - 46408,"Berkeley, CA",,Unknown / Non-Applicable,51 to 200 Employees,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
251,"Atlassian
4.7","Data Scientist, Data Analytics Engineering","San Francisco, CA","Working at Atlassian

Atlassian can hire people in any country where we have a legal entity. Assuming you have eligible working rights and a sufficient time zone overlap with your team, you can choose to work remotely or return to an office as they reopen (unless it’s necessary for your role to be performed in the office). Interviews and onboarding are conducted virtually, a part of being a distributed-first company.

Your future team
Do you have experience examining complex data and turning it into useful information and insights? Do you love finding the next big 'aha' insight which changes the way a business thinks about their customers? Would you like to lead change with global impact at the world's hottest SaaS company?
Atlassian is looking for a data quality expert to join our Marketing Analytics team as a Data Scientist, Data Analytics Engineering. We're looking for someone with business instincts and analytics mastery, who is passionate about applying these skills to lead smarter data decisions and delight our customers. You'll build scalable marketing analytics data products and pipelines. You'll do this by partnering with analytics and data engineering experts to understand the business and data landscape and build a data foundations roadmap.
What you'll do
Manage marketing analytics data product programs and pipelines (such as attribution or paid performance pipeline).
Build productized data assets that meet customer needs that are scalable enough to grow
Oversee data requirement gathering (including metrics and definitions alignment), establishing acceptance criteria, QAing, and testing for new products from start to finish to ensure everything is implemented and validated.
Prioritize improvements and complete deep dives that build short-term improvements while partnering with broader data engineering team to define long-term road map
Establish documentation for data product assets
Partner with marketing analytics and data engineering leadership to achieve ""the best"" data models and products
Guide demos sessions and education roll out for new data products and features to ensure adoption and usage
Your background
3+ years working with data analysis and engineering
An Agile development mindset, appreciating the benefit of constant iteration and improvement. A very high bar for output quality, while balancing ""having something now"" vs. ""perfection in the future""
Expertise in data modeling, (e.g. SQL, Python), knowledge of cloud data environments (e.g. AWS), and experience with data ETLs and UAT processes
Strength in one or more visualization tools (Tableau, R-Shiny, etc)
An understanding of the SaaS development, business model and metrics
Familiarity working with Product Management, Engineering, Design, Customer Research and Data Engineering teams
A degree in a quantitative discipline (e.g. statistics, mathematics, physics, econometrics, or computer science)

Our perks & benefits

To support you at work and play, our perks and benefits include ample time off, an annual education budget, paid volunteer days, and so much more.

About Atlassian

The world’s best teams work better together with Atlassian. From medicine and space travel, to disaster response and pizza deliveries, Atlassian software products help teams all over the planet. At Atlassian, we're motivated by a common goal: to unleash the potential of every team.

We believe that the unique contributions of all Atlassians create our success. To ensure that our products and culture continue to incorporate everyone's perspectives and experience, we never discriminate based on race, religion, national origin, gender identity or expression, sexual orientation, age, or marital, veteran, or disability status. All your information will be kept confidential according to EEO guidelines.

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

To learn more about our culture and hiring process, explore our Candidate Resource Hub.",Unknown / Non-Applicable,5001 to 10000 Employees,Company - Public,Information Technology,Software Development,2002,Unknown / Non-Applicable
252,#N/A,Staff Data Scientist,"Mountain View, CA","The CRM Analytics on the QuickBooks Online ecosystem team’s mission is to deliver delightful customer experiences and drive business impact by surfacing the right messages to the right customers at the right time across all customer touchpoints (web app, in-app, notifications, sms, email, direct mail, sales, customer care etc.). We partner with marketing, product management, design and engineering teams to guide better decisions, automated and human, using data analysis, machine learning and experimentation.",$5 to $25 million (USD),10000+ Employees,Company - Public,Information Technology,Software Development,1983,$5 to $25 million (USD)
253,"Snowflake
4.3",Sr. Data Scientist,"San Mateo, CA","We’re looking for a Senior Data Scientist to lead Snowflake's corporate data science function. In this role, you will apply machine learning to a variety of domain specific problems across Legal, Sales Engineering, Alliances, IT, Professional Services & Training. This is a generalist role and will provide an opportunity to work on a wide breadth of problems, applying a good mix of models & methods to structured & unstructured data.
AS A SENIOR DATA SCIENTIST AT SNOWFLAKE YOU WILL :",$2 to $5 billion (USD),1001 to 5000 Employees,Company - Public,Information Technology,Enterprise Software & Network Solutions,2012,$2 to $5 billion (USD)
254,"Apple
4.2",Computer Vision Data Scientist,"Cupertino, CA","Posted: Nov 4, 2022
Role Number:200441916
Do you have a passion for computer vision and deep learning problems? The Video Engineering group is looking for a data scientist with a strong emphasis on deep system understanding through data analysis. In this role, you will collaborate with multiple teams (machine learning, quality assurance, cloud infrastructure support, user studies). We work on multiple, related projects requiring a bit of creativity and resourcefulness. You will be able to demonstrate your skills and expertise as we work together to innovate. We are an unusual team in how we operate, and we are looking for creative engineers, physicists, mathematicians, and anyone with room to grow to join us. We are unusual in the sense that our initial work was filling a gap between Face ID Algorithms, Quality Assurance, and User Studies, and we now continue to partner with other Video Engineering teams.",$10+ billion (USD),10000+ Employees,Company - Public,Information Technology,Computer Hardware Development,1976,$10+ billion (USD)
255,"Mozilla
4.0",Product Data Scientist (Senior and Staff Levels),"San Francisco, CA","As a Product Data Scientist, you will work closely with the product and marketing organization. You are an inquisitive thinker who is keen to practice full-stack data science, with experience ranging from designing and engineering data extraction processes to finding patterns and anomalies in data through analytical techniques. You have strong interest in honing your technical skills further on real-world data. You believe that data science can lead to insights that can guide the future of Mozilla. You will apply your expertise in quantitative analysis, statistical modeling, and data visualization to see beyond the numbers and understand how our worldwide community experiences our products.",$100 to $500 million (USD),501 to 1000 Employees,Company - Private,Information Technology,Computer Hardware Development,2005,$100 to $500 million (USD)
256,"Apple
4.2",Tech Lead: Data centric Machine Learning,"Cupertino, CA","Posted: Oct 10, 2022
Role Number:200433746
Apple's Video Engineering team (VE) delivers CVML based algorithms for ground breaking features such as augmented reality (AR), Cinematic Video, RoomPlan, FaceID and Animoji. All of these features depend on high quality data collection, data understanding, and data curation. In this position, you will use modern techniques in Deep Learning to enable such high-quality on-device algorithms. You will work on the design of data collection protocols, analysis and curation of collected data, creation of ML-based Core Datasets, and closing the feedback loop between trained model performance and new dataset requirements. Your goal is to help bridge the gap from “it works” to “it's magical”. As a member of the fast-paced algorithm development team, you will have the rewarding opportunity to shape upcoming products that will delight and inspire millions of people every day.",$10+ billion (USD),10000+ Employees,Company - Public,Information Technology,Computer Hardware Development,1976,$10+ billion (USD)
257,"Waymo
4.0","Software Engineer / Data Scientist, Planner Evaluation Driving Sets","Mountain View, CA","The Simulation Organization enables Waymo to simulate and analyze millions of miles of driving every day. We can recreate, modify, and amplify our real-world experience - or generate entirely new situations from scratch. We work with teams across Waymo, enabling the rapid iterations in advancing self-driving technology. Our work was recently featured in The Atlantic - ""Inside Waymo's Secret World for training Self-Driving Cars"". As powerful as this system is, however, there are still many open problems to solve and much work ahead of us.",Unknown / Non-Applicable,Unknown,Company - Private,Information Technology,Computer Hardware Development,2009,Unknown / Non-Applicable
258,Atomic AI,"Data Scientist, RNA Structure","South San Francisco, CA",Science,Unknown / Non-Applicable,1 to 50 Employees,Company - Private,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2021,Unknown / Non-Applicable
259,"Nightfall AI
4.8","Data Scientist (Deep Learning, ML, NLP)","San Francisco, CA","As an early Data Scientist at Nightfall, you'll design & implement models that enable us to detect sensitive data with high accuracy across petabytes of heterogeneous & unstructured data.",Unknown / Non-Applicable,1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
260,"Uber
4.0",Senior Data Scientist - Platform Engineering,"San Francisco, CA","As a Senior Data Scientist in the Platform Engineering organization, you get to use your quantitative skill, obsession, and empathy towards customers, and collaborative spirit to work closely with Product Management, Engineering, and fellow Data Scientists to provide data-driven insights to find new opportunities to take our development experience to the next level.",$10+ billion (USD),10000+ Employees,Company - Public,Information Technology,Internet & Web Services,2009,$10+ billion (USD)
261,"Wayfair
3.3","Machine Learning Scientist, Personalization","Mountain View, CA","Wayfair Science powers automation and decision support across all Wayfair business units. Our algorithms tackle a varied and broad spectrum of challenges in the Wayfair marketplace; from empowering suppliers to easily add products to our catalog, to enabling our customers to discover and purchase a vast and diverse assortment of home goods.",$5 to $10 billion (USD),10000+ Employees,Company - Public,Retail & Wholesale,Home Furniture & Housewares Stores,2002,$5 to $10 billion (USD)
262,"Atlassian
4.7","Principal Data Scientist, Customer Analytics","Mountain View, CA","Working at Atlassian

Atlassian can hire people in any country where we have a legal entity. Assuming you have eligible working rights and a sufficient time zone overlap with your team, you can choose to work remotely or return to an office as they reopen (unless it’s necessary for your role to be performed in the office). Interviews and onboarding are conducted virtually, a part of being a distributed-first company.

Your future team
The Customer Analytics team at Atlassian delivers insights about our customers throughout their lifecycle with Atlassian. We define and maintain a customer health score, provide insights on customer engagement, build and deploy models to predict potential churn and expansion. We design analytical frameworks to understand different parts of the customer journey, help customers get more value from our product suite and develop insights on the multi-year effort to transition server customers to Cloud. This team partners with other analytics teams and plays a huge role in important programs improving the business. We are a collaborative team with a high bar for analytical rigor, and we love to have fun along the way. We are looking for a top-tier data scientist to be an important contributor to the customer analytics team.
What you'll do
You will help build customer profiles and deliver meaningful insights to improve the efficacy of go-to-market (GTM) and Product programs
You will partner with Atlassian's Enterprise Growth, Product Analytics and Customer Success teams to improve Onboarding, Adoption, Expansion and Retention across our product portfolio
Involved in identifying positive and negative triggers related to product usage and workflows, coming up with data-driven recommendations for programs, defining evaluation metrics, designing experiments, analyzing results to understand the efficacy of the projects and building interactive dashboards to track and understand progress
Be a partner to the Enterprise Growth and CSI team and work with the broader Analytics organization to deliver customer insights
You will mentor senior data scientists and independently guide work with product managers
Your background
9+ years of experience in analytics or related fields
Understand and analyzing digital campaigns at scale - Pre-Post Analysis, A/B testing
Expertise in SQL and proficiency in another data programming language (Python, R)
Create raw data and analysis into well-written content
Experience designing and analyzing experiments that impact product decisions
Passionate about customer experience, and customer analytics as a craft
Share analyses and recommendations to non-technical audiences
Understanding of machine learning techniques such as Regression, Clustering, Decision Trees, Gradient Boosting Machines

Our perks & benefits

To support you at work and play, our perks and benefits include ample time off, an annual education budget, paid volunteer days, and so much more.

About Atlassian

The world’s best teams work better together with Atlassian. From medicine and space travel, to disaster response and pizza deliveries, Atlassian software products help teams all over the planet. At Atlassian, we're motivated by a common goal: to unleash the potential of every team.

We believe that the unique contributions of all Atlassians create our success. To ensure that our products and culture continue to incorporate everyone's perspectives and experience, we never discriminate based on race, religion, national origin, gender identity or expression, sexual orientation, age, or marital, veteran, or disability status. All your information will be kept confidential according to EEO guidelines.

To learn more about our culture and hiring process, explore our Candidate Resource Hub.",Unknown / Non-Applicable,5001 to 10000 Employees,Company - Public,Information Technology,Software Development,2002,Unknown / Non-Applicable
263,"Verkada
4.0",Growth Data Scientist,"San Mateo, CA",,Unknown / Non-Applicable,1001 to 5000 Employees,Company - Private,Information Technology,Software Development,2016,Unknown / Non-Applicable
264,"Snowflake
4.3",Principal Data Scientist,"San Mateo, CA","We’re looking for a Principal Data Scientist to lead Snowflake's corporate data science function. In this role, you will apply machine learning to a variety of domain specific problems across Legal, Sales Engineering, Alliances, IT, Professional Services & Training. This is a generalist role and will provide an opportunity to work on a wide breadth of problems, applying a good mix of models & methods to structured & unstructured data.
AS A PRINCIPAL DATA SCIENTIST AT SNOWFLAKE YOU WILL
:",$2 to $5 billion (USD),1001 to 5000 Employees,Company - Public,Information Technology,Enterprise Software & Network Solutions,2012,$2 to $5 billion (USD)
265,"TikTok
3.6","Data Scientist - Tiktok Ads, Growth Marketing","Mountain View, CA",,Unknown / Non-Applicable,10000+ Employees,Company - Private,Information Technology,Internet & Web Services,2016,Unknown / Non-Applicable
266,"CALICO
4.0","Senior Scientist, Imaging (Clinical Data)","South San Francisco, CA","Calico (Calico Life Sciences LLC) is an Alphabet-founded research and development company whose mission is to harness advanced technologies and model systems to increase our understanding of the biology that controls human aging. Calico will use that knowledge to devise interventions that enable people to lead longer and healthier lives. Calico’s highly innovative technology labs, its commitment to curiosity-driven discovery science and, with academic and industry partners, its vibrant drug-development pipeline, together create an inspiring and exciting place to catalyze and enable medical breakthroughs.",Unknown / Non-Applicable,201 to 500 Employees,Company - Private,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2013,Unknown / Non-Applicable
267,NewLimit,"Data Scientist, Bioinformatics","South San Francisco, CA","NewLimit is a biotechnology company working to radically extend human healthspan. We're developing medicines to treat age-related diseases by reprogramming the epigenome, a new therapeutic mechanism to restore regenerative potential in aged and diseased cells. We leverage functional genomics, pooled perturbation screening, and machine learning models to unravel the biology of epigenetic aging and disease using experiments of unprecedented scale.",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
268,"Databricks
4.6",Staff Data Scientist,"San Francisco, CA","At Databricks, we are obsessed with enabling data teams to solve the world's toughest problems, from security threat detection to cancer drug development. We do this by building and running the world's best data and AI infrastructure platform, so our customers can focus on the high value challenges that are central to their own missions.",Unknown / Non-Applicable,1001 to 5000 Employees,Company - Private,Information Technology,Computer Hardware Development,2013,Unknown / Non-Applicable
269,"Apple
4.2",Senior Deep Learning Compiler Engineer,"Cupertino, CA","Posted: Oct 17, 2022
Role Number:200436475
We live in a mobile and device driven world, where Deep Learning technology enables a new class of applications. Are you passionate about enabling unique user experience such as Face ID, Animoji, AR games? Imagine the countless possibilities powered by Artificial Intelligence. In the Video Engineering team, we are dedicated in providing hardware acceleration using the new proprietary Apple Neural Engine SOC to enable real time, low power and high performance execution of Deep Learning workloads. Our success is the result of very talented people working in an environment which cultivates creativity, partnership and cross functional collaboration. These elements come together to make Apple an amazing environment for motivated people to do the greatest work of their lives. Will you help us design the next generation of revolutionary Apple Products?",$10+ billion (USD),10000+ Employees,Company - Public,Information Technology,Computer Hardware Development,1976,$10+ billion (USD)
270,"TikTok
3.6","Data Scientist, University Graduate - 2023 Start (BS/MS)","Mountain View, CA",,Unknown / Non-Applicable,10000+ Employees,Company - Private,Information Technology,Internet & Web Services,2016,Unknown / Non-Applicable
271,"Uber
4.0",2023 University Graduate - Data Scientist,"San Francisco, CA","Uber’s Data Science teams use data to improve and automate all aspects of our core products, as we drive growth, retention, engagement, and affinity on the Uber platform. This includes providing insight into how pricing and surge is working and offering opportunities for improvement; understanding adoption and engagement with rides and recognizing opportunities for product evolution; crafting and analyzing experiments to understand the effects of matching changes and/or incentives on rider and driver behaviors, conversion and engagement; working with Engineering teams to ensure integrity of our platform, products and data.",$10+ billion (USD),10000+ Employees,Company - Public,Information Technology,Internet & Web Services,2009,$10+ billion (USD)
272,"Verily
4.1","Data Scientist, Viral Genomics","South San Francisco, CA",,Unknown / Non-Applicable,1001 to 5000 Employees,Subsidiary or Business Segment,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2015,Unknown / Non-Applicable
273,"Discord
3.9","Senior Data Scientist, Analytics","San Francisco, CA",#N/A,$25 to $50 million (USD),501 to 1000 Employees,Company - Private,Information Technology,Internet & Web Services,2015,$25 to $50 million (USD)
274,"Lyra Health
4.5",Data Scientist (Remote - U.S. only),"Burlingame, CA","Lyra is transforming mental health care through technology with a human touch to help people feel emotionally healthy at work and at home. We work with industry leaders, such as Morgan Stanley, Uber, Amgen, and other Fortune 500 companies, to improve access to effective, high-quality mental health care for their employees and their families. With our innovative digital care platform and global provider network, 10 million people can receive the best care and feel better, faster. Founded by David Ebersman, former CFO of Facebook and Genentech, Lyra has raised more than $900 million.",$100 to $500 million (USD),1001 to 5000 Employees,Company - Private,Healthcare,Healthcare Services & Hospitals,2015,$100 to $500 million (USD)
275,"TikTok
3.6","Machine Learning Engineer, University Graduate (TikTok-Data)- 2023 Start (BS/MS)","Mountain View, CA",,Unknown / Non-Applicable,10000+ Employees,Company - Private,Information Technology,Internet & Web Services,2016,Unknown / Non-Applicable
276,"Notion
4.9","Data Scientist, Growth","San Francisco, CA","We're on a mission to make it possible for every person, team, and company to be able to tailor their software to solve any problem and take on any challenge. Computers may be our most powerful tools, but most of us can't build or modify the software we use on them every day. At Notion, we want to change this with focus, design, and craft.",Unknown / Non-Applicable,201 to 500 Employees,Company - Private,Information Technology,Enterprise Software & Network Solutions,2016,Unknown / Non-Applicable
277,"TikTok
3.6","Data Scientist, University Graduate (Global E-commerce Risk Control)- 2023 Start (MS)","Mountain View, CA",,Unknown / Non-Applicable,10000+ Employees,Company - Private,Information Technology,Internet & Web Services,2016,Unknown / Non-Applicable
278,"University of California Berkeley
4.3",Data Scientist / Research Software Engineer (6104U) - 46408,"Berkeley, CA",,Unknown / Non-Applicable,51 to 200 Employees,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
279,"Ancestry
3.7","Data Scientist, CV/NLP","San Francisco, CA","When you join Ancestry, you join a human-centered company where every person’s story is important. We believe that by discovering the struggles and triumphs of our past, we can foster deeper bonds and more meaningful connections among families and communities. Our talented team of scientists, engineers, genealogists, historians, and storytellers is dedicated to empowering customers around the world from all backgrounds on their journeys of personal discovery.",$2 to $5 billion (USD),1001 to 5000 Employees,Company - Private,Information Technology,Internet & Web Services,1985,$2 to $5 billion (USD)
280,"Snowflake
4.3",Sr. Data Scientist,"San Mateo, CA","We’re looking for a Senior Data Scientist to lead Snowflake's corporate data science function. In this role, you will apply machine learning to a variety of domain specific problems across Legal, Sales Engineering, Alliances, IT, Professional Services & Training. This is a generalist role and will provide an opportunity to work on a wide breadth of problems, applying a good mix of models & methods to structured & unstructured data.
AS A SENIOR DATA SCIENTIST AT SNOWFLAKE YOU WILL :",$2 to $5 billion (USD),1001 to 5000 Employees,Company - Public,Information Technology,Enterprise Software & Network Solutions,2012,$2 to $5 billion (USD)
281,"Snowflake
4.3",Principal Data Scientist,"San Mateo, CA","We’re looking for a Principal Data Scientist to lead Snowflake's corporate data science function. In this role, you will apply machine learning to a variety of domain specific problems across Legal, Sales Engineering, Alliances, IT, Professional Services & Training. This is a generalist role and will provide an opportunity to work on a wide breadth of problems, applying a good mix of models & methods to structured & unstructured data.
AS A PRINCIPAL DATA SCIENTIST AT SNOWFLAKE YOU WILL
:",$2 to $5 billion (USD),1001 to 5000 Employees,Company - Public,Information Technology,Enterprise Software & Network Solutions,2012,$2 to $5 billion (USD)
282,"Apple
4.2",Computer Vision Data Scientist,"Cupertino, CA","Posted: Nov 4, 2022
Role Number:200441916
Do you have a passion for computer vision and deep learning problems? The Video Engineering group is looking for a data scientist with a strong emphasis on deep system understanding through data analysis. In this role, you will collaborate with multiple teams (machine learning, quality assurance, cloud infrastructure support, user studies). We work on multiple, related projects requiring a bit of creativity and resourcefulness. You will be able to demonstrate your skills and expertise as we work together to innovate. We are an unusual team in how we operate, and we are looking for creative engineers, physicists, mathematicians, and anyone with room to grow to join us. We are unusual in the sense that our initial work was filling a gap between Face ID Algorithms, Quality Assurance, and User Studies, and we now continue to partner with other Video Engineering teams.",$10+ billion (USD),10000+ Employees,Company - Public,Information Technology,Computer Hardware Development,1976,$10+ billion (USD)
283,"Apple
4.2",Tech Lead: Data centric Machine Learning,"Cupertino, CA","Posted: Oct 10, 2022
Role Number:200433746
Apple's Video Engineering team (VE) delivers CVML based algorithms for ground breaking features such as augmented reality (AR), Cinematic Video, RoomPlan, FaceID and Animoji. All of these features depend on high quality data collection, data understanding, and data curation. In this position, you will use modern techniques in Deep Learning to enable such high-quality on-device algorithms. You will work on the design of data collection protocols, analysis and curation of collected data, creation of ML-based Core Datasets, and closing the feedback loop between trained model performance and new dataset requirements. Your goal is to help bridge the gap from “it works” to “it's magical”. As a member of the fast-paced algorithm development team, you will have the rewarding opportunity to shape upcoming products that will delight and inspire millions of people every day.",$10+ billion (USD),10000+ Employees,Company - Public,Information Technology,Computer Hardware Development,1976,$10+ billion (USD)
284,#N/A,Staff Data Scientist,"Mountain View, CA","The CRM Analytics on the QuickBooks Online ecosystem team’s mission is to deliver delightful customer experiences and drive business impact by surfacing the right messages to the right customers at the right time across all customer touchpoints (web app, in-app, notifications, sms, email, direct mail, sales, customer care etc.). We partner with marketing, product management, design and engineering teams to guide better decisions, automated and human, using data analysis, machine learning and experimentation.",$5 to $25 million (USD),10000+ Employees,Company - Public,Information Technology,Software Development,1983,$5 to $25 million (USD)
